source_file,sheet_name,row_number,severity,field,code,message
Last 90 Day of Lending Activity(1).xlsx,Sheet1,14,error,lvr,missing_lvr,LVR is missing or invalid.
Last 90 Day of Lending Activity(1).xlsx,Sheet1,16,error,lvr,missing_lvr,LVR is missing or invalid.
Last 90 Day of Lending Activity(1).xlsx,Sheet1,27,error,lvr,missing_lvr,LVR is missing or invalid.
Last 90 Day of Lending Activity(1).xlsx,Sheet1,28,error,lvr,missing_lvr,LVR is missing or invalid.
Last 90 Day of Lending Activity(1).xlsx,Sheet1,38,error,lvr,missing_lvr,LVR is missing or invalid.
Last 90 Day of Lending Activity(1).xlsx,Sheet1,40,error,lvr,missing_lvr,LVR is missing or invalid.
Last 90 Day of Lending Activity(1).xlsx,Sheet1,41,error,lvr,missing_lvr,LVR is missing or invalid.
Last 90 Day of Lending Activity(1).xlsx,Sheet1,69,error,lvr,missing_lvr,LVR is missing or invalid.
Last 90 Day of Lending Activity(1).xlsx,Sheet1,83,error,lvr,missing_lvr,LVR is missing or invalid.
Last 90 Day of Lending Activity(1).xlsx,Sheet1,84,error,lvr,missing_lvr,LVR is missing or invalid.
Last 90 Day of Lending Activity(1).xlsx,Sheet1,91,error,lvr,missing_lvr,LVR is missing or invalid.
Last 90 Day of Lending Activity(1).xlsx,Sheet1,98,error,lvr,missing_lvr,LVR is missing or invalid.
Last 90 Day of Lending Activity(1).xlsx,Sheet1,117,error,lvr,missing_lvr,LVR is missing or invalid.
Last 90 Day of Lending Activity(1).xlsx,Sheet1,118,error,lvr,missing_lvr,LVR is missing or invalid.
Last 90 Day of Lending Activity(1).xlsx,Sheet1,128,error,lvr,missing_lvr,LVR is missing or invalid.
Last 90 Day of Lending Activity(1).xlsx,Sheet1,171,error,lvr,missing_lvr,LVR is missing or invalid.
Last 90 Day of Lending Activity(1).xlsx,Sheet1,178,error,lvr,missing_lvr,LVR is missing or invalid.
Last 90 Day of Lending Activity(1).xlsx,Sheet1,183,error,lvr,missing_lvr,LVR is missing or invalid.
Last 90 Day of Lending Activity(1).xlsx,Sheet1,184,error,lvr,missing_lvr,LVR is missing or invalid.
Last 90 Day of Lending Activity(1).xlsx,Sheet1,189,error,lvr,missing_lvr,LVR is missing or invalid.
Last 90 Day of Lending Activity(1).xlsx,Sheet1,194,error,lvr,missing_lvr,LVR is missing or invalid.
Last 90 Day of Lending Activity(1).xlsx,Sheet1,203,error,lvr,missing_lvr,LVR is missing or invalid.
Last 90 Day of Lending Activity(1).xlsx,Sheet1,209,error,lvr,non_positive_lvr,LVR should be greater than zero.
Last 90 Day of Lending Activity(1).xlsx,Sheet1,210,error,lvr,non_positive_lvr,LVR should be greater than zero.
Last 90 Day of Lending Activity(1).xlsx,Sheet1,219,error,lvr,missing_lvr,LVR is missing or invalid.
Last 90 Day of Lending Activity(10).xlsx,Sheet1,2,error,lvr,missing_lvr,LVR is missing or invalid.
Last 90 Day of Lending Activity(10).xlsx,Sheet1,14,error,lvr,missing_lvr,LVR is missing or invalid.
Last 90 Day of Lending Activity(10).xlsx,Sheet1,15,error,lvr,missing_lvr,LVR is missing or invalid.
Last 90 Day of Lending Activity(10).xlsx,Sheet1,22,error,lvr,missing_lvr,LVR is missing or invalid.
Last 90 Day of Lending Activity(10).xlsx,Sheet1,23,error,lvr,missing_lvr,LVR is missing or invalid.
Last 90 Day of Lending Activity(10).xlsx,Sheet1,24,error,lvr,missing_lvr,LVR is missing or invalid.
Last 90 Day of Lending Activity(10).xlsx,Sheet1,55,error,lvr,missing_lvr,LVR is missing or invalid.
Last 90 Day of Lending Activity(10).xlsx,Sheet1,63,error,lvr,missing_lvr,LVR is missing or invalid.
Last 90 Day of Lending Activity(10).xlsx,Sheet1,65,error,lvr,missing_lvr,LVR is missing or invalid.
Last 90 Day of Lending Activity(10).xlsx,Sheet1,66,error,lvr,missing_lvr,LVR is missing or invalid.
Last 90 Day of Lending Activity(10).xlsx,Sheet1,83,error,lvr,missing_lvr,LVR is missing or invalid.
Last 90 Day of Lending Activity(10).xlsx,Sheet1,84,error,lvr,missing_lvr,LVR is missing or invalid.
Last 90 Day of Lending Activity(10).xlsx,Sheet1,97,error,lvr,missing_lvr,LVR is missing or invalid.
Last 90 Day of Lending Activity(10).xlsx,Sheet1,98,error,lvr,missing_lvr,LVR is missing or invalid.
Last 90 Day of Lending Activity(10).xlsx,Sheet1,108,error,lvr,missing_lvr,LVR is missing or invalid.
Last 90 Day of Lending Activity(10).xlsx,Sheet1,121,error,lvr,missing_lvr,LVR is missing or invalid.
Last 90 Day of Lending Activity(10).xlsx,Sheet1,135,error,lvr,missing_lvr,LVR is missing or invalid.
Last 90 Day of Lending Activity(10).xlsx,Sheet1,138,error,lvr,missing_lvr,LVR is missing or invalid.
Last 90 Day of Lending Activity(10).xlsx,Sheet1,141,error,lvr,missing_lvr,LVR is missing or invalid.
Last 90 Day of Lending Activity(10).xlsx,Sheet1,144,error,lvr,missing_lvr,LVR is missing or invalid.
Last 90 Day of Lending Activity(10).xlsx,Sheet1,151,error,lvr,missing_lvr,LVR is missing or invalid.
Last 90 Day of Lending Activity(10).xlsx,Sheet1,153,error,lvr,missing_lvr,LVR is missing or invalid.
Last 90 Day of Lending Activity(10).xlsx,Sheet1,155,error,lvr,missing_lvr,LVR is missing or invalid.
Last 90 Day of Lending Activity(10).xlsx,Sheet1,167,error,lvr,missing_lvr,LVR is missing or invalid.
Last 90 Day of Lending Activity(10).xlsx,Sheet1,169,error,lvr,missing_lvr,LVR is missing or invalid.
Last 90 Day of Lending Activity(10).xlsx,Sheet1,184,error,lvr,missing_lvr,LVR is missing or invalid.
Last 90 Day of Lending Activity(10).xlsx,Sheet1,187,error,lvr,missing_lvr,LVR is missing or invalid.
Last 90 Day of Lending Activity(10).xlsx,Sheet1,188,error,lvr,missing_lvr,LVR is missing or invalid.
Last 90 Day of Lending Activity(10).xlsx,Sheet1,195,error,lvr,missing_lvr,LVR is missing or invalid.
Last 90 Day of Lending Activity(10).xlsx,Sheet1,208,error,lvr,missing_lvr,LVR is missing or invalid.
Last 90 Day of Lending Activity(10).xlsx,Sheet1,239,error,lvr,missing_lvr,LVR is missing or invalid.
Last 90 Day of Lending Activity(11).xlsx,Sheet1,4,error,lvr,missing_lvr,LVR is missing or invalid.
Last 90 Day of Lending Activity(11).xlsx,Sheet1,6,error,lvr,missing_lvr,LVR is missing or invalid.
Last 90 Day of Lending Activity(11).xlsx,Sheet1,7,error,lvr,missing_lvr,LVR is missing or invalid.
Last 90 Day of Lending Activity(11).xlsx,Sheet1,8,error,lvr,missing_lvr,LVR is missing or invalid.
Last 90 Day of Lending Activity(11).xlsx,Sheet1,11,error,lvr,missing_lvr,LVR is missing or invalid.
Last 90 Day of Lending Activity(11).xlsx,Sheet1,13,error,lvr,missing_lvr,LVR is missing or invalid.
Last 90 Day of Lending Activity(11).xlsx,Sheet1,22,error,lvr,missing_lvr,LVR is missing or invalid.
Last 90 Day of Lending Activity(11).xlsx,Sheet1,23,error,lvr,missing_lvr,LVR is missing or invalid.
Last 90 Day of Lending Activity(11).xlsx,Sheet1,26,error,lvr,missing_lvr,LVR is missing or invalid.
